year,mineral,country,is_rare_earth,end_use,mine_production_tonnes,production_share_pct,reserves_tonnes,years_of_reserves,refined_share_pct,price_usd_per_tonne,demand_growth_pct,export_control_active,hhi,top_country_share_pct,supply_risk_score,high_supply_risk,disruption,disruption_next_year
2021,Antimony,Tajikistan,0,flame_ret,27799.7,15.09,1234706.0,44.4,12.07,13183.21,9.3,0,0.3624,52.42,31.4,0,0,0.0
2022,Antimony,Tajikistan,0,flame_ret,28609.8,14.12,544307.0,19.0,11.3,11985.2,5.7,0,0.3835,58.8,33.9,0,0,0.0
2023,Antimony,Tajikistan,0,flame_ret,31568.8,15.11,952361.0,30.2,12.09,14404.84,-1.2,0,0.3571,52.01,25.2,0,0,0.0
2024,Antimony,Tajikistan,0,flame_ret,32069.0,15.77,397245.0,12.4,12.62,12581.56,10.9,0,0.3654,54.33,37.4,0,0,0.0
2025,Antimony,Tajikistan,0,flame_ret,32778.3,15.23,1896150.0,57.8,12.19,15195.77,4.2,0,0.3641,53.92,35.1,0,0,0.0
2026,Antimony,Tajikistan,0,flame_ret,33752.7,14.19,1046050.0,31.0,11.35,14063.78,7.1,0,0.3577,51.17,22.8,0,0,
2015,Cerium,Australia,1,catalyst,6077.5,11.42,212522.0,35.0,9.14,2500.0,9.6,0,0.4509,60.89,34.6,0,0,0.0
2016,Cerium,Australia,1,catalyst,6609.5,11.9,89863.0,13.6,9.52,2250.0,10.0,0,0.4558,65.14,44.2,0,0,0.0
2017,Cerium,Australia,1,catalyst,7809.2,12.62,416255.0,53.3,10.09,2750.0,13.1,0,0.4394,59.92,33.5,0,0,0.0
2018,Cerium,Australia,1,catalyst,7934.3,13.01,65816.0,8.3,10.41,3000.0,13.5,0,0.4329,61.27,38.8,0,0,0.0
2019,Cerium,Australia,1,catalyst,8172.2,12.89,412924.0,50.5,10.31,2500.0,4.7,0,0.4578,66.47,31.0,0,0,0.0
2020,Cerium,Australia,1,catalyst,9464.3,13.54,142359.0,15.0,10.83,2750.0,8.8,0,0.4469,66.02,42.4,0,0,1.0
2021,Cerium,Australia,1,catalyst,8433.2,12.75,124130.0,14.7,10.2,4750.0,10.9,0,0.4413,63.03,44.8,0,1,0.0
2022,Cerium,Australia,1,catalyst,9462.0,12.57,353199.0,37.3,10.06,5250.0,8.6,0,0.4492,65.17,42.0,0,0,0.0
2023,Cerium,Australia,1,catalyst,9460.9,12.23,341908.0,36.1,9.78,3500.0,5.6,0,0.4309,62.97,36.5,0,0,0.0
2024,Cerium,Australia,1,catalyst,10639.5,13.95,411455.0,38.7,11.16,3000.0,4.5,0,0.4091,58.69,30.6,0,0,0.0
2025,Cerium,Australia,1,catalyst,11112.9,13.09,341407.0,30.7,10.47,4000.0,5.2,0,0.4058,57.68,31.0,0,0,0.0
2026,Cerium,Australia,1,catalyst,10799.3,13.09,94727.0,8.8,10.47,4500.0,5.4,0,0.4225,61.42,46.9,0,0,
2015,Cerium,China,1,catalyst,32390.8,60.89,759802.0,23.5,91.33,2500.0,1.7,0,0.4509,60.89,43.0,0,0,0.0
2016,Cerium,China,1,catalyst,36165.8,65.14,844740.0,23.4,97.71,2250.0,7.1,0,0.4558,65.14,39.6,0,0,0.0
2017,Cerium,China,1,catalyst,37080.2,59.92,1823479.0,49.2,89.88,2750.0,1.4,0,0.4394,59.92,38.9,0,0,0.0
2018,Cerium,China,1,catalyst,37360.2,61.27,2141760.0,57.3,91.91,3000.0,11.2,0,0.4329,61.27,37.1,0,0,0.0
2019,Cerium,China,1,catalyst,42139.8,66.47,1225771.0,29.1,99.71,2500.0,4.6,0,0.4578,66.47,46.7,0,0,0.0
2020,Cerium,China,1,catalyst,46158.0,66.02,1144033.0,24.8,99.03,2750.0,2.7,0,0.4469,66.02,47.4,0,0,1.0
2021,Cerium,China,1,catalyst,41686.6,63.03,1305661.0,31.3,94.55,4750.0,3.6,0,0.4413,63.03,49.2,1,1,0.0
2022,Cerium,China,1,catalyst,49060.7,65.17,2179734.0,44.4,97.76,5250.0,3.1,0,0.4492,65.17,47.3,0,0,0.0
2023,Cerium,China,1,catalyst,48723.1,62.97,999140.0,20.5,94.46,3500.0,7.4,0,0.4309,62.97,42.4,0,0,0.0
2024,Cerium,China,1,catalyst,44754.3,58.69,407841.0,9.1,88.03,3000.0,10.0,0,0.4091,58.69,52.7,1,0,0.0
2025,Cerium,China,1,catalyst,48968.2,57.68,2389620.0,48.8,86.53,4000.0,3.2,0,0.4058,57.68,43.2,0,0,0.0
2026,Cerium,China,1,catalyst,50670.4,61.42,883068.0,17.4,92.13,4500.0,10.1,0,0.4225,61.42,46.0,0,0,
2015,Cerium,India,1,catalyst,2758.7,5.19,98295.0,35.6,4.15,2500.0,6.5,0,0.4509,60.89,27.1,0,0,0.0
2016,Cerium,India,1,catalyst,2811.4,5.06,113433.0,40.3,4.05,2250.0,8.5,0,0.4558,65.14,35.4,0,0,0.0
2017,Cerium,India,1,catalyst,3082.1,4.98,182147.0,59.1,3.98,2750.0,1.6,0,0.4394,59.92,32.6,0,0,0.0
2018,Cerium,India,1,catalyst,3210.8,5.27,115047.0,35.8,4.21,3000.0,10.8,0,0.4329,61.27,28.5,0,0,0.0
2019,Cerium,India,1,catalyst,3288.7,5.19,29961.0,9.1,4.15,2500.0,7.2,0,0.4578,66.47,42.0,0,0,0.0
2020,Cerium,India,1,catalyst,3665.8,5.24,183153.0,50.0,4.19,2750.0,6.9,0,0.4469,66.02,30.5,0,0,1.0
2021,Cerium,India,1,catalyst,3770.9,5.7,44720.0,11.9,4.56,4750.0,10.0,0,0.4413,63.03,41.2,0,1,0.0
2022,Cerium,India,1,catalyst,4111.1,5.46,158383.0,38.5,4.37,5250.0,3.6,0,0.4492,65.17,35.5,0,0,0.0
2023,Cerium,India,1,catalyst,4517.0,5.84,70196.0,15.5,4.67,3500.0,9.7,0,0.4309,62.97,33.4,0,0,0.0
2024,Cerium,India,1,catalyst,4467.1,5.86,37339.0,8.4,4.69,3000.0,13.4,0,0.4091,58.69,42.8,0,0,0.0
2025,Cerium,India,1,catalyst,4839.5,5.7,228141.0,47.1,4.56,4000.0,2.7,0,0.4058,57.68,30.8,0,0,0.0
2026,Cerium,India,1,catalyst,4494.1,5.45,229594.0,51.1,4.36,4500.0,6.5,0,0.4225,61.42,26.6,0,0,
2015,Cerium,Russia,1,catalyst,2266.4,4.26,101003.0,44.6,3.41,2500.0,10.3,0,0.4509,60.89,38.5,0,0,0.0
2016,Cerium,Russia,1,catalyst,2401.1,4.32,36851.0,15.3,3.46,2250.0,8.5,0,0.4558,65.14,41.7,0,0,0.0
2017,Cerium,Russia,1,catalyst,2549.5,4.12,100460.0,39.4,3.3,2750.0,7.1,0,0.4394,59.92,31.3,0,0,0.0
2018,Cerium,Russia,1,catalyst,2622.8,4.3,44644.0,17.0,3.44,3000.0,4.7,0,0.4329,61.27,47.7,0,0,0.0
2019,Cerium,Russia,1,catalyst,2689.5,4.24,56235.0,20.9,3.39,2500.0,10.3,0,0.4578,66.47,39.9,0,0,0.0
2020,Cerium,Russia,1,catalyst,3048.0,4.36,139376.0,45.7,3.49,2750.0,4.7,0,0.4469,66.02,47.6,0,0,1.0
2021,Cerium,Russia,1,catalyst,2631.4,3.98,26046.0,9.9,3.18,4750.0,11.3,0,0.4413,63.03,58.0,1,1,0.0
2022,Cerium,Russia,1,catalyst,3377.5,4.49,51782.0,15.3,3.59,5250.0,8.9,0,0.4492,65.17,47.7,0,0,0.0
2023,Cerium,Russia,1,catalyst,3608.1,4.66,96747.0,26.8,3.73,3500.0,6.2,0,0.4309,62.97,40.1,0,0,0.0
2024,Cerium,Russia,1,catalyst,3301.1,4.33,78137.0,23.7,3.46,3000.0,6.4,0,0.4091,58.69,44.3,0,0,0.0
2025,Cerium,Russia,1,catalyst,3952.5,4.66,106535.0,27.0,3.72,4000.0,7.2,0,0.4058,57.68,39.0,0,0,0.0
2026,Cerium,Russia,1,catalyst,3494.3,4.24,164128.0,47.0,3.39,4500.0,7.4,0,0.4225,61.42,48.3,1,0,
2015,Cerium,USA,1,catalyst,6948.9,13.06,137265.0,19.8,10.45,2500.0,5.5,0,0.4509,60.89,36.1,0,0,0.0
2016,Cerium,USA,1,catalyst,8021.7,14.45,267743.0,33.4,11.56,2250.0,7.9,0,0.4558,65.14,41.9,0,0,0.0
2017,Cerium,USA,1,catalyst,8309.3,13.43,378057.0,45.5,10.74,2750.0,7.1,0,0.4394,59.92,43.1,0,0,0.0
2018,Cerium,USA,1,catalyst,8761.5,14.37,279997.0,32.0,11.5,3000.0,10.3,0,0.4329,61.27,36.1,0,0,0.0
2019,Cerium,USA,1,catalyst,8763.7,13.82,410281.0,46.8,11.06,2500.0,9.7,0,0.4578,66.47,41.4,0,0,0.0
2020,Cerium,USA,1,catalyst,10104.7,14.45,191650.0,19.0,11.56,2750.0,6.8,0,0.4469,66.02,39.6,0,0,1.0
2021,Cerium,USA,1,catalyst,9411.0,14.23,426568.0,45.3,11.38,4750.0,10.8,0,0.4413,63.03,42.3,0,1,0.0
2022,Cerium,USA,1,catalyst,10605.3,14.09,107196.0,10.1,11.27,5250.0,6.0,0,0.4492,65.17,34.1,0,0,0.0
2023,Cerium,USA,1,catalyst,11959.9,15.46,504222.0,42.2,12.37,3500.0,6.2,0,0.4309,62.97,40.0,0,0,0.0
2024,Cerium,USA,1,catalyst,11467.0,15.04,683135.0,59.6,12.03,3000.0,13.1,0,0.4091,58.69,34.9,0,0,0.0
2025,Cerium,USA,1,catalyst,13223.1,15.58,505024.0,38.2,12.46,4000.0,9.0,0,0.4058,57.68,32.1,0,0,0.0
2026,Cerium,USA,1,catalyst,13279.2,16.1,505667.0,38.1,12.88,4500.0,1.7,0,0.4225,61.42,29.2,0,0,
2015,Cobalt,Australia,0,battery,5932.8,5.15,222428.0,37.5,4.12,30000.0,22.5,0,0.4862,69.33,28.7,0,0,0.0
2016,Cobalt,Australia,0,battery,7289.6,5.28,142733.0,19.6,4.23,31500.0,19.1,0,0.4958,70.62,42.1,0,0,0.0
2017,Cobalt,Australia,0,battery,8075.7,5.27,375143.0,46.5,4.21,42000.0,28.3,0,0.4919,70.25,44.7,0,0,0.0
2018,Cobalt,Australia,0,battery,8884.4,5.05,305656.0,34.4,4.04,45000.0,24.3,0,0.4639,64.25,35.7,0,0,0.0
2019,Cobalt,Australia,0,battery,8956.8,4.57,136649.0,15.3,3.65,33000.0,18.3,0,0.4958,69.17,44.4,0,0,0.0
2020,Cobalt,Australia,0,battery,11239.5,5.0,673171.0,59.9,4.0,30000.0,28.1,0,0.5066,72.99,42.6,0,0,1.0
2021,Cobalt,Australia,0,battery,13493.4,5.0,626832.0,46.5,4.0,45000.0,35.4,0,0.5038,70.2,47.2,0,1,0.0
2022,Cobalt,Australia,0,battery,13128.2,4.5,750648.0,57.2,3.6,54000.0,24.9,0,0.5192,73.9,47.6,0,0,0.0
2023,Cobalt,Australia,0,battery,14887.2,4.51,360485.0,24.2,3.61,39000.0,21.9,0,0.5125,71.32,45.5,0,0,0.0
2024,Cobalt,Australia,0,battery,19856.1,4.92,1138670.0,57.3,3.94,31500.0,18.2,0,0.5104,69.76,42.1,0,0,0.0
2025,Cobalt,Australia,0,battery,19564.5,4.63,251263.0,12.8,3.7,30000.0,24.0,0,0.5212,74.39,46.3,0,0,0.0
2026,Cobalt,Australia,0,battery,21922.4,4.41,473468.0,21.6,3.53,31500.0,23.2,0,0.5199,71.06,33.7,0,0,
2015,Cobalt,Canada,0,battery,6039.2,5.24,115241.0,19.1,4.19,30000.0,16.4,0,0.4862,69.33,45.2,0,0,0.0
2016,Cobalt,Canada,0,battery,6442.3,4.67,338169.0,52.5,3.73,31500.0,25.4,0,0.4958,70.62,42.5,0,0,0.0
2017,Cobalt,Canada,0,battery,8062.3,5.26,165655.0,20.5,4.21,42000.0,23.9,0,0.4919,70.25,40.6,0,0,0.0
2018,Cobalt,Canada,0,battery,9027.9,5.13,259850.0,28.8,4.1,45000.0,24.6,0,0.4639,64.25,31.0,0,0,0.0
2019,Cobalt,Canada,0,battery,8971.2,4.57,471540.0,52.6,3.66,33000.0,26.1,0,0.4958,69.17,39.0,0,0,0.0
2020,Cobalt,Canada,0,battery,11134.7,4.95,580440.0,52.1,3.96,30000.0,19.9,0,0.5066,72.99,45.2,0,0,1.0
2021,Cobalt,Canada,0,battery,12961.4,4.8,115298.0,8.9,3.84,45000.0,19.8,0,0.5038,70.2,48.7,1,1,0.0
2022,Cobalt,Canada,0,battery,13272.9,4.55,500809.0,37.7,3.64,54000.0,13.6,0,0.5192,73.9,44.8,0,0,0.0
2023,Cobalt,Canada,0,battery,15307.9,4.64,349487.0,22.8,3.71,39000.0,22.9,0,0.5125,71.32,35.3,0,0,0.0
2024,Cobalt,Canada,0,battery,19539.3,4.85,281054.0,14.4,3.88,31500.0,13.1,0,0.5104,69.76,49.2,1,0,0.0
2025,Cobalt,Canada,0,battery,20843.5,4.93,590101.0,28.3,3.94,30000.0,18.0,0,0.5212,74.39,47.7,0,0,0.0
2026,Cobalt,Canada,0,battery,21476.3,4.32,1147988.0,53.5,3.45,31500.0,27.0,0,0.5199,71.06,44.7,0,0,
2015,Cobalt,China,0,battery,3605.5,3.13,164054.0,45.5,4.69,30000.0,25.4,0,0.4862,69.33,49.7,1,0,0.0
2016,Cobalt,China,0,battery,4028.4,2.92,167046.0,41.5,4.38,31500.0,22.8,0,0.4958,70.62,48.8,1,0,0.0
2017,Cobalt,China,0,battery,4737.2,3.09,208858.0,44.1,4.63,42000.0,31.4,0,0.4919,70.25,52.7,1,0,0.0
2018,Cobalt,China,0,battery,5070.5,2.88,49062.0,9.7,4.32,45000.0,22.5,0,0.4639,64.25,49.2,1,0,0.0
2019,Cobalt,China,0,battery,5702.3,2.91,218788.0,38.4,4.36,33000.0,23.3,0,0.4958,69.17,42.8,0,0,0.0
2020,Cobalt,China,0,battery,6407.4,2.85,76004.0,11.9,4.28,30000.0,20.2,0,0.5066,72.99,48.5,1,0,1.0
2021,Cobalt,China,0,battery,7498.8,2.78,103542.0,13.8,4.17,45000.0,19.5,0,0.5038,70.2,61.4,1,1,0.0
2022,Cobalt,China,0,battery,8583.6,2.94,148747.0,17.3,4.42,54000.0,24.8,0,0.5192,73.9,46.2,0,0,0.0
2023,Cobalt,China,0,battery,9632.9,2.92,301220.0,31.3,4.38,39000.0,32.0,0,0.5125,71.32,45.5,0,0,0.0
2024,Cobalt,China,0,battery,10569.6,2.62,216827.0,20.5,3.93,31500.0,22.7,0,0.5104,69.76,56.8,1,0,0.0
2025,Cobalt,China,0,battery,11909.6,2.82,195647.0,16.4,4.23,30000.0,19.7,0,0.5212,74.39,47.1,0,0,0.0
2026,Cobalt,China,0,battery,13216.7,2.66,730398.0,55.3,3.99,31500.0,38.0,0,0.5199,71.06,53.7,1,0,
2015,Cobalt,Cuba,0,battery,11144.2,9.67,516029.0,46.3,7.74,30000.0,18.8,0,0.4862,69.33,37.7,0,0,0.0
2016,Cobalt,Cuba,0,battery,13933.4,10.1,174854.0,12.5,8.08,31500.0,20.5,0,0.4958,70.62,45.4,0,0,0.0
2017,Cobalt,Cuba,0,battery,14755.4,9.62,633653.0,42.9,7.7,42000.0,12.1,0,0.4919,70.25,39.9,0,0,0.0
2018,Cobalt,Cuba,0,battery,18317.0,10.41,443715.0,24.2,8.33,45000.0,18.9,0,0.4639,64.25,43.7,0,0,0.0
2019,Cobalt,Cuba,0,battery,19591.5,9.99,598155.0,30.5,7.99,33000.0,14.2,0,0.4958,69.17,41.6,0,0,0.0
2020,Cobalt,Cuba,0,battery,22764.2,10.13,420239.0,18.5,8.1,30000.0,12.9,0,0.5066,72.99,41.4,0,0,1.0
2021,Cobalt,Cuba,0,battery,24339.7,9.02,994291.0,40.9,7.21,45000.0,19.5,0,0.5038,70.2,40.8,0,1,0.0
2022,Cobalt,Cuba,0,battery,28905.6,9.92,1146139.0,39.7,7.93,54000.0,7.8,0,0.5192,73.9,47.0,0,0,0.0
2023,Cobalt,Cuba,0,battery,32140.8,9.73,777881.0,24.2,7.79,39000.0,24.0,0,0.5125,71.32,42.4,0,0,0.0
2024,Cobalt,Cuba,0,battery,36731.3,9.11,957636.0,26.1,7.29,31500.0,18.8,0,0.5104,69.76,40.2,0,0,0.0
2025,Cobalt,Cuba,0,battery,39448.5,9.33,1415254.0,35.9,7.46,30000.0,20.4,0,0.5212,74.39,33.8,0,0,0.0
2026,Cobalt,Cuba,0,battery,46889.0,9.43,1939091.0,41.4,7.54,31500.0,16.6,0,0.5199,71.06,43.1,0,0,
2015,Cobalt,DRC,0,battery,79874.0,69.33,1447616.0,18.1,55.46,30000.0,20.7,0,0.4862,69.33,51.9,1,0,0.0
2016,Cobalt,DRC,0,battery,97447.8,70.62,4810082.0,49.4,56.49,31500.0,18.3,0,0.4958,70.62,52.1,1,0,0.0
2017,Cobalt,DRC,0,battery,107739.4,70.25,5307804.0,49.3,56.2,42000.0,29.3,0,0.4919,70.25,49.3,1,0,0.0
2018,Cobalt,DRC,0,battery,113061.6,64.25,4279827.0,37.9,51.4,45000.0,21.8,0,0.4639,64.25,47.2,0,0,0.0
2019,Cobalt,DRC,0,battery,135635.0,69.17,7413489.0,54.7,55.33,33000.0,26.3,0,0.4958,69.17,46.5,0,0,0.0
2020,Cobalt,DRC,0,battery,164080.8,72.99,7956019.0,48.5,58.4,30000.0,23.7,0,0.5066,72.99,53.1,1,0,1.0
2021,Cobalt,DRC,0,battery,189479.3,70.2,6122423.0,32.3,56.16,45000.0,8.3,0,0.5038,70.2,44.0,0,1,0.0
2022,Cobalt,DRC,0,battery,215390.8,73.9,6988004.0,32.4,59.12,54000.0,25.6,0,0.5192,73.9,52.3,1,0,0.0
2023,Cobalt,DRC,0,battery,235551.2,71.32,8298609.0,35.2,57.06,39000.0,17.8,0,0.5125,71.32,54.8,1,0,0.0
2024,Cobalt,DRC,0,battery,281256.2,69.76,11143672.0,39.6,55.81,31500.0,23.1,0,0.5104,69.76,48.8,1,0,1.0
2025,Cobalt,DRC,0,battery,314517.5,74.39,14636382.0,46.5,59.51,30000.0,34.8,1,0.5212,74.39,61.1,1,1,0.0
2026,Cobalt,DRC,0,battery,353448.4,71.06,11955985.0,33.8,56.85,31500.0,21.8,1,0.5199,71.06,56.9,1,0,
2015,Cobalt,Indonesia,0,battery,4555.5,3.95,194110.0,42.6,3.16,30000.0,13.2,0,0.4862,69.33,37.4,0,0,0.0
2016,Cobalt,Indonesia,0,battery,5298.1,3.84,260641.0,49.2,3.07,31500.0,22.3,0,0.4958,70.62,36.3,0,0,0.0
2017,Cobalt,Indonesia,0,battery,5866.2,3.82,134718.0,23.0,3.06,42000.0,18.4,0,0.4919,70.25,44.2,0,0,0.0
2018,Cobalt,Indonesia,0,battery,6946.5,3.95,310382.0,44.7,3.16,45000.0,24.6,0,0.4639,64.25,34.2,0,0,0.0
2019,Cobalt,Indonesia,0,battery,8128.3,4.15,357808.0,44.0,3.32,33000.0,14.7,0,0.4958,69.17,42.7,0,0,0.0
2020,Cobalt,Indonesia,0,battery,8673.3,3.86,493837.0,56.9,3.09,30000.0,36.4,0,0.5066,72.99,28.4,0,0,1.0
2021,Cobalt,Indonesia,0,battery,10640.2,3.94,167603.0,15.8,3.15,45000.0,26.0,0,0.5038,70.2,42.8,0,1,0.0
2022,Cobalt,Indonesia,0,battery,10497.9,3.6,232485.0,22.1,2.88,54000.0,28.2,0,0.5192,73.9,45.3,0,0,0.0
